2025-09-28 16:28:01,188 INFO  Logger.cs: 70 - 
2025-09-28 16:45:50,038 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2025-09-28 16:45:50,050 INFO  SwAddin.cs: 344 - Showing property manager
2025-09-28 16:45:59,853 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-09-28 16:46:01,470 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-09-28 16:46:10,847 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-09-28 16:49:08,548 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-09-28 16:49:12,708 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-09-28 16:49:42,220 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-09-28 16:50:03,260 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-09-28 16:50:07,363 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-09-28 16:50:23,743 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-09-28 16:50:25,620 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-09-28 16:52:58,352 INFO  ExportPropertyManager.cs: 422 - Configuration saved
2025-09-28 16:52:58,876 INFO  ExportHelperExtension.cs: 347 - Creating joint claw_2
2025-09-28 16:52:59,467 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent base_link to child claw_2 failed
2025-09-28 16:53:00,527 INFO  ExportHelperExtension.cs: 347 - Creating joint claw_1
2025-09-28 16:53:00,657 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent base_link to child claw_1 failed
2025-09-28 16:53:02,043 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Final_Assembly.SLDASM
2025-09-28 16:53:02,057 INFO  ExportHelperExtension.cs: 1136 - Found 38 in Final_Assembly.SLDASM
2025-09-28 16:53:02,058 INFO  ExportHelperExtension.cs: 1145 - Found 3 features of type [CoordSys] in Final_Assembly.SLDASM
2025-09-28 16:53:02,058 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-09-28 16:53:02,059 INFO  ExportHelperExtension.cs: 1160 - 3 components to check
2025-09-28 16:53:02,059 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from claw-2
2025-09-28 16:53:02,060 INFO  ExportHelperExtension.cs: 1136 - Found 94 in claw-2
2025-09-28 16:53:02,062 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in claw-2
2025-09-28 16:53:02,062 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from base-1
2025-09-28 16:53:02,063 INFO  ExportHelperExtension.cs: 1136 - Found 38 in base-1
2025-09-28 16:53:02,063 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in base-1
2025-09-28 16:53:02,064 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from claw-1
2025-09-28 16:53:02,065 INFO  ExportHelperExtension.cs: 1136 - Found 94 in claw-1
2025-09-28 16:53:02,065 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in claw-1
2025-09-28 16:53:02,066 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Final_Assembly.SLDASM
2025-09-28 16:53:02,066 INFO  ExportHelperExtension.cs: 1136 - Found 38 in Final_Assembly.SLDASM
2025-09-28 16:53:02,067 INFO  ExportHelperExtension.cs: 1145 - Found 2 features of type [RefAxis] in Final_Assembly.SLDASM
2025-09-28 16:53:02,067 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-09-28 16:53:02,067 INFO  ExportHelperExtension.cs: 1160 - 3 components to check
2025-09-28 16:53:02,068 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from claw-2
2025-09-28 16:53:02,069 INFO  ExportHelperExtension.cs: 1136 - Found 94 in claw-2
2025-09-28 16:53:02,069 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in claw-2
2025-09-28 16:53:02,070 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from base-1
2025-09-28 16:53:02,071 INFO  ExportHelperExtension.cs: 1136 - Found 38 in base-1
2025-09-28 16:53:02,071 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in base-1
2025-09-28 16:53:02,072 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from claw-1
2025-09-28 16:53:02,072 INFO  ExportHelperExtension.cs: 1136 - Found 94 in claw-1
2025-09-28 16:53:02,073 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in claw-1
2025-09-28 16:53:02,196 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-09-28 16:57:24,893 INFO  ConfigurationSerialization.cs: 276 - URDF Configuration found
